problem,run,trial,n_seen,accuracy,input,correct,predicted
waves.1.c000,0,0,17,0,"C (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 3) (CONS (DIGIT 3) (CONS (DIGIT 4) []))))))))","[]","CONS (DIGIT 7) (CONS (DIGIT 4) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 1) 3) (CONS (DIGIT 3) (CONS (DIGIT 4) []))))))"
waves.1.c000,0,1,1,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 6) 5) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 1) 2) (CONS (DECC (DIGIT 6) 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 1) 9) (CONS (DECC (DIGIT 2) 9) []))))))))","[]","[]"
waves.1.c000,0,2,1,1,"C []","[]","[]"
waves.1.c000,0,3,1,1,"C (CONS (DECC (DIGIT 3) 7) [])","[]","[]"
waves.1.c000,0,4,1,1,"C (CONS (DIGIT 3) (CONS (DIGIT 5) (CONS (DIGIT 7) (CONS (DECC (DIGIT 3) 0) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 1) (CONS (DECC (DIGIT 3) 2) [])))))))","[]","[]"
waves.1.c000,0,5,1,1,"C (CONS (DIGIT 4) (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 3) [])))","[]","[]"
waves.1.c000,0,6,1,1,"C (CONS (DECC (DIGIT 2) 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 4) 3) [])))","[]","[]"
waves.1.c000,0,7,1,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 4) 2) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 6) 3) (CONS (DECC (DIGIT 8) 0) (CONS (DECC (DIGIT 5) 8) [])))))))","[]","[]"
waves.1.c000,0,8,1,1,"C (CONS (DIGIT 7) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 8) 9) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 9) [])))))))","[]","[]"
waves.1.c000,0,9,1,1,"C (CONS (DIGIT 0) (CONS (DIGIT 0) (CONS (DECC (DIGIT 4) 4) (CONS (DIGIT 7) (CONS (DECC (DIGIT 5) 4) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 4) 8) (CONS (DECC (DIGIT 9) 3) (CONS (DIGIT 0) (CONS (DECC (DIGIT 6) 3) []))))))))))","[]","[]"
waves.1.c000,0,10,1,1,"C (CONS (DECC (DIGIT 7) 4) (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 7) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 1) []))))))))","[]","[]"
waves.1.c000,1,0,17,0,"C (CONS (DIGIT 6) (CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) [])))))))","[]","CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) [])))))"
waves.1.c000,1,1,1,1,"C (CONS (DIGIT 0) (CONS (DECC (DIGIT 8) 7) (CONS (DIGIT 7) (CONS (DECC (DIGIT 9) 5) (CONS (DIGIT 6) (CONS (DIGIT 2) (CONS (DECC (DIGIT 1) 4) [])))))))","[]","[]"
waves.1.c000,1,2,1,1,"C (CONS (DECC (DIGIT 3) 4) (CONS (DIGIT 2) (CONS (DIGIT 4) (CONS (DIGIT 0) (CONS (DIGIT 7) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 9) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 2) [])))))))))","[]","[]"
waves.1.c000,1,3,1,1,"C (CONS (DECC (DIGIT 2) 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 4) 3) [])))","[]","[]"
waves.1.c000,1,4,1,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 9) 0) [])))","[]","[]"
