Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1582750143.878	    11.249	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c000_0.log
2	:	1582750143.880	    11.441	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c000_1.log
49	:	1582750143.986	    11.422	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c009_3.log
47	:	1582750143.982	    14.071	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c009_1.log
48	:	1582750143.984	    15.789	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c009_2.log
46	:	1582750143.980	    16.606	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c009_0.log
42	:	1582750143.970	    16.718	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c008_1.log
4	:	1582750143.884	    18.710	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c000_3.log
50	:	1582750143.987	    18.838	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c009 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c009_4.log
3	:	1582750143.882	    19.664	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c000_2.log
5	:	1582750143.886	    21.667	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c000_4.log
41	:	1582750143.967	    21.665	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c008_0.log
44	:	1582750143.975	    22.054	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c008_3.log
45	:	1582750143.977	    23.999	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c008_4.log
30	:	1582750143.945	    24.914	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c005_4.log
28	:	1582750143.939	    26.305	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c005_2.log
7	:	1582750143.889	    27.350	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c001_1.log
10	:	1582750143.894	    27.480	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c001_4.log
43	:	1582750143.972	    27.621	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c008 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c008_2.log
15	:	1582750143.908	    28.216	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c002_4.log
29	:	1582750143.942	    28.277	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c005_3.log
9	:	1582750143.892	    29.940	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c001_3.log
27	:	1582750143.936	    30.976	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c005_1.log
6	:	1582750143.887	    31.674	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c001_0.log
60	:	1582750144.010	    33.164	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c011 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c011_4.log
52	:	1582750143.991	    33.219	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c010 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c010_1.log
26	:	1582750143.933	    34.240	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c005 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c005_0.log
33	:	1582750143.951	    35.370	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c006_2.log
35	:	1582750143.955	    38.457	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c006_4.log
18	:	1582750143.914	    38.576	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c003 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c003_2.log
8	:	1582750143.891	    41.874	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c001 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c001_2.log
53	:	1582750143.994	    42.943	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c010 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c010_2.log
11	:	1582750143.896	    43.332	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c002_0.log
12	:	1582750143.898	    44.315	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c002_1.log
13	:	1582750143.901	    45.223	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c002_2.log
14	:	1582750143.905	    45.631	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c002 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c002_3.log
17	:	1582750143.912	    45.883	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c003 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c003_1.log
31	:	1582750143.947	    46.509	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c006_0.log
66	:	1582750160.591	    37.319	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c013 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c013_0.log
67	:	1582750160.693	    39.490	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c013 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c013_1.log
62	:	1582750155.326	    44.939	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c012 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c012_1.log
72	:	1582750165.637	    38.102	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c014 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c014_1.log
68	:	1582750162.598	    42.197	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c013 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c013_2.log
34	:	1582750143.953	    61.175	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c006_3.log
37	:	1582750143.958	    62.299	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c007_1.log
19	:	1582750143.916	    62.541	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c003 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c003_3.log
38	:	1582750143.960	    62.628	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c007_2.log
36	:	1582750143.956	    63.079	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c007_0.log
51	:	1582750143.989	    64.099	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c010 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c010_0.log
