problem,run,trial,accuracy,n_seen,program
trs.waves.1.c009,4,1,1,17,"C = TAIL;"
trs.waves.1.c009,4,2,1,23049,"C = TAIL;"
trs.waves.1.c009,4,3,1,12289,"C = TAIL;"
trs.waves.1.c009,4,4,1,7577,"C = TAIL;"
trs.waves.1.c009,4,5,1,2881,"C = TAIL;"
trs.waves.1.c009,4,6,1,1129,"C = TAIL;"
trs.waves.1.c009,4,7,1,737,"C = TAIL;"
trs.waves.1.c009,4,8,1,489,"C = TAIL;"
trs.waves.1.c009,4,9,1,553,"C = TAIL;"
trs.waves.1.c009,4,10,1,449,"C = TAIL;"
trs.waves.1.c009,4,11,1,505,"C = TAIL;"
trs.waves.1.c009,1,1,1,17,"C = TAIL;"
trs.waves.1.c009,1,2,1,14385,"C = TAIL;"
trs.waves.1.c009,1,3,1,5889,"C = TAIL;"
trs.waves.1.c009,1,4,1,2945,"C = TAIL;"
trs.waves.1.c009,1,5,1,1841,"C = TAIL;"
trs.waves.1.c009,1,6,1,745,"C = TAIL;"
trs.waves.1.c009,1,7,1,497,"C = TAIL;"
trs.waves.1.c009,1,8,1,441,"C = TAIL;"
trs.waves.1.c009,1,9,1,449,"C = TAIL;"
trs.waves.1.c009,1,10,1,457,"C = TAIL;"
trs.waves.1.c009,1,11,1,353,"C = TAIL;"
trs.waves.1.c009,0,1,1,17,"C = TAIL;"
trs.waves.1.c009,0,2,1,14641,"C = TAIL;"
trs.waves.1.c009,0,3,1,13753,"C = TAIL;"
trs.waves.1.c009,0,4,1,7473,"C = TAIL;"
trs.waves.1.c009,0,5,1,3713,"C = TAIL;"
trs.waves.1.c009,0,6,1,1889,"C = TAIL;"
trs.waves.1.c009,0,7,1,929,"C = TAIL;"
trs.waves.1.c009,0,8,1,561,"C = TAIL;"
trs.waves.1.c009,0,9,1,617,"C = TAIL;"
trs.waves.1.c009,0,10,1,633,"C = TAIL;"
trs.waves.1.c009,0,11,1,665,"C = TAIL;"
trs.waves.1.c009,3,1,1,17,"C = TAIL;"
trs.waves.1.c009,3,2,1,15257,"C = TAIL;"
trs.waves.1.c009,3,3,1,12449,"C = TAIL;"
trs.waves.1.c009,3,4,1,7713,"C = TAIL;"
trs.waves.1.c009,3,5,1,3649,"C = TAIL;"
trs.waves.1.c009,3,6,1,1513,"C = TAIL;"
trs.waves.1.c009,3,7,1,713,"C = TAIL;"
trs.waves.1.c009,3,8,1,537,"C = TAIL;"
trs.waves.1.c009,3,9,1,233,"C = TAIL;"
trs.waves.1.c009,3,10,1,81,"C = TAIL;"
trs.waves.1.c009,3,11,1,217,"C = TAIL;"
trs.waves.1.c009,2,1,1,17,"C = TAIL;"
trs.waves.1.c009,2,2,1,13089,"C = TAIL;"
trs.waves.1.c009,2,3,1,7433,"C = TAIL;"
trs.waves.1.c009,2,4,1,3833,"C = TAIL;"
trs.waves.1.c009,2,5,1,1833,"C = TAIL;"
trs.waves.1.c009,2,6,1,809,"C = TAIL;"
trs.waves.1.c009,2,7,1,377,"C = TAIL;"
trs.waves.1.c009,2,8,1,249,"C = TAIL;"
trs.waves.1.c009,2,9,1,249,"C = TAIL;"
trs.waves.1.c009,2,10,1,193,"C = TAIL;"
trs.waves.1.c009,2,11,1,97,"C = TAIL;"
trs.waves.1.c000,0,1,1,17,"C = TAIL;"
trs.waves.1.c000,0,2,1,29233,"C = TAIL;"
trs.waves.1.c000,0,3,0,15761,"C = TAIL;"
trs.waves.1.c000,0,4,1,22777,".(var18_ var13_) = var13_;"
trs.waves.1.c000,0,5,1,11737,".(var18_ var13_) = var13_;"
trs.waves.1.c000,0,6,1,5369,".(var18_ var13_) = var13_;"
trs.waves.1.c000,0,7,1,3097,".(var18_ var13_) = var13_;"
trs.waves.1.c000,0,8,1,1625,".(var18_ var13_) = var13_;"
trs.waves.1.c000,0,9,1,889,".(var18_ var13_) = var13_;"
trs.waves.1.c000,0,10,1,617,".(var18_ var13_) = var13_;"
trs.waves.1.c000,0,11,1,617,".(var18_ var13_) = var13_;"
trs.waves.1.c001,1,1,0,17,"C = TAIL;"
trs.waves.1.c001,1,2,1,43921,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,3,1,22537,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,4,1,11905,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,5,1,4969,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,6,1,3169,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,7,1,1313,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,8,1,801,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,9,1,417,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,10,1,321,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c001,1,11,1,473,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 3)) 7)) NIL);"
trs.waves.1.c008,1,1,0,17,"C = TAIL;"
trs.waves.1.c008,1,2,1,26921,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,3,1,15097,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,4,1,6889,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,5,1,4281,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,1,6,1,2329,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
